mid,pset1,pset2,pset3,pset4,pset5,pset6,q1,q1,q2,q3,q4,q5,q6,midtermRaw,finalRaw,TotalPoints,psetTotal,quizTotal,recitationTotal,midterm,FinalExam,CourseGrade
118,,,44,33.33,8.33,21,7,9,11,,17,3,6,31.5,26.5,46.21309524,7.866666667,12.9,10,7.875,7.571428571,C
W3,,,,0,0,,,,,,,,,48.5,,12.125,0,0,0,12.125,0,D
20,45,35,47,41.67,41.67,50,14,16,10,20,18,15,18,67,55.5,86.73380952,18.02666667,26.1,10,16.75,15.85714286,A
66,35,23,45,45,35,45,12,14,12,20,14,8.5,15,50,43.5,73.82857143,16.4,22.5,10,12.5,12.42857143,B
33,45,35,46,48.33,44.17,48,9,11,16,14,19,15,16,67.5,46,81.62876623,18.52,24,9.090909091,16.875,13.14285714,B+
93,29,30,20,36.67,41.67,47,9,11,13,20,16,17,16,31.5,42,65.58530303,14.74666667,24.6,6.363636364,7.875,12,C+
91,38,30,15,50,28.33,39,11,13,4,20,13,10,8,52,32,66.16952381,14.82666667,19.2,10,13,9.142857143,C+
45,49,45,45,50,45,35,13,15,13,19,15,6.5,18,56,43.5,79.14857143,18.72,24,10,14,12.42857143,B+
79,49,36,37.5,45,30,46,5,7,18,20,13,9,14,38,45.5,69.96181818,17.08,22.2,8.181818182,9.5,13,C+
97,31,37,28,46.67,0,16,12,14,14,20,16,10.5,3,50.5,32,64.99300866,12.69333333,22.35,8.181818182,12.625,9.142857143,C+
100,33,,,50,0,32,12,16,15,18,17,,15,56,52,64.22077922,9.2,19.8,6.363636364,14,14.85714286,C
62,35,17,23,40,33.33,38,8,11,17,17,16,6,17,53,59,75.23562771,13.54666667,23.4,8.181818182,13.25,16.85714286,B
17,47,43,43,45,48.33,48,10,14,17,16,17,11,20,71,58,88.02809524,18.50666667,25.2,10,17.75,16.57142857,A
123,33,,40,45,43.33,,5,5,,17,17,,,37,19.5,39.83354978,10.26666667,10.2,4.545454545,9.25,5.571428571,C
10,44,43,35,50,40,46,,18,18,20,19,11,17,79,73,94.22896104,17.84,27.6,8.181818182,19.75,20.85714286,A
90,43,41,45,45,48.33,43,10,13,7,15,17,,9,39.5,45,66.87880952,17.94666667,16.2,10,9.875,12.85714286,C+
36,39,40,46,45,43.33,18,12,12,18,18,20,9,10,60,55,81.18095238,17.06666667,23.4,10,15,15.71428571,B+
92,49,38,26,0,41.67,42,12,12,18,17,,9,19,68.5,36,65.67132035,15.73333333,19.8,2.727272727,17.125,10.28571429,C+
108,49,,37,38.33,16.67,33,16,17,17,13,,15,,65,35.5,60.95225108,12.58666667,14.7,7.272727273,16.25,10.14285714,C
W2,44,31,31.5,45,0,47,,,12,19,17,1,4,38.5,34,50.81928571,15.88,15.6,0,9.625,9.714285714,C
W2,35,40,48,50,41.67,45,10,14,19,15,17,10,19,74,71.5,83.92008658,17.97333333,25.2,1.818181818,18.5,20.42857143,A
114,,42,29,45,40,38,10,10,14,,11,5,8,36.5,30,51.97824675,13.2,12.9,8.181818182,9.125,8.571428571,C
W2,39,,,0,0,,6,8,,,13,10,,40,37,31.50051948,3.12,6.9,0.909090909,10,10.57142857,D
78,35,44,46,50,45,38,10,10,13,17,20,14,7,60,34.5,70.35168831,17.84,22.2,5.454545455,15,9.857142857,C+
