midterm
58.5
51
55
39.5
71.5
56.5
50
52.5
51.5

43
53.5
51.5
64

60
55

51.5
58.5
51
58
73.5
62
58.5
34.5
55.5
48
67
61
89.5
70
46
63
61
35.5

58.5
61.5
53.5

73
48
58
52

54
61.5
58
67
45
58.5
42.5
42
37
66
52
45
40
61
54.5
44
65
43.5
58
62.5
68
54
49
63
59
57.5
62
36.5
48
42
54
61
37.5
61
61
55.5


50
51.5
73
65.5

69
56
60
57
52.5
54.75
62
54.5
51.5
37

46.5
72
61.5
59.5
49.5

51
67
